ETHNIC_CODE,ETHNIC
CAB,Cabindan-Mayombe
CAD,Caddo
CAP,Cape Verdean
CAR,Kali'na
CAT,Catalan
CEB,Cebuano
CHA,Chamorro
CHC,Chukchi
CHE,Chechen
CHG,Chagatai
CHI,Chinese
CHK,Chuukese
CHL,Chileans
CHM,Mari
CHN,Chinook
CHO,Choctaw
CHP,Chipewyan
CHR,Cherokee
CHT,Ch'orti'
CHV,Chuvash
CHW,Chewa
CHY,Cheyenne
CIR,Adyghe
CMC,Cham
COL,Colombian
CON,Confusian
COP,Coptic Christians
COR,Cornish
COS,Corsican
COT,Cotiers
CPE,English-Creole
CPF,French-Creole
CPP,Portuguese-Creole
CRE,Cree
CRH,Crimean Tatar
CRI,Christian
CRO,Orthodox Christian
CRP,Creole
CSB,Kashubian
CSR,Costa Ricans
CTH,Catholics
CUS,Cushitic
CZE,Czech
DAI,Dai
DAK,Sioux
DAL,Dalit
DAM,Damara
DAN,Danes
DAO,Yao (Asia)
DAR,Dargwa
DAU,Daur
DAY,Dayak
DEL,Lenape
DEN,Slavey
DGR,Dogrib
DIN,Dinka
DIV,Maldivian
DJE,Djerma-Songhai
DOI,Dogras
DOM,Dominicans
DON,Dong
DOX,Dongxiang
DRA,Dravidian
DRU,Druze
DRZ,Druze
DSB,Lower Sorbian
DUA,Duala
DUT,Dutch
DYU,Dyula
DZO,Ngalop
EAT,East Timorese
ECU,Ecuadorians
EFI,Efik
EIN,East Indian
EKA,Ekajuk
ENG,English
ESH,Eshira
EST,Estonian
ETH,Ethiopian-Jews
EUR,Europeans
EVE,Evenks
EWE,Ewe
EWO,Ewondo
FAN,Fang
FAO,Faroese
FAT,Fante
FIJ,Fijian
FIL,Filipino
FIN,Finns
FIU,Finno-Ugric
FON,Fon
FRE,French
FRI,Santals
FRR,Frisians
FRU,Fur
FUL,Fula
FUR,Friulan
GAR,Garifuna
GAY,Gayo
GBA,Gbaya
GEL,Gelao
GEO,Georgian
GER,German
GIA,Gia Rai
GIL,Kiribati
GIN,Gin
GIO,Gio
GLA,Gaels
GLE,Irish
GLG,Galician
GLV,Manx
GON,Gondi
GOR,Gorontalonese
GRA,Grassfielders
GRB,Grebo
GRE,Greek
GRN,Guarani
GSW,Swiss Germans
GUA,Guatemalan
GUJ,Gujarati
GUN,Guan
GWI,Gwich'in
HAD,Hadjerai
HAI,Haida
HAR,Harari
HAT,Haitian
HAU,Hausa
HAW,Hawaiian
HAZ,Hazara
HER,Herero
HGH,Hill Tribes
HIL,Hiligayon
HIM,Himachali
HIN,Hindu
HJW,Hasidic
HMN,Hmong
HMO,Hiri Motu
HNI,Hani
HOA,Hoa
HON,Hondurans
HRT,Haratin
HRV,Croats
HSB,Upper Sorbian
HUI,Hui
HUN,Hungarian
HUP,Hupa
HUT,Hutu
IBA,Iban
IBO,Igbo
ICE,Icelanders
IDG,Indigenous
IDN,Indian
III,Yi
IJO,Ijaw
IKU,Inuit
ILO,Ilocono
IND,Indonesian
INH,Ingush
IPK,Inupiat
IRA,Iranian
IRO,Iroquois
ITA,Itallian
JAN,Jain
JAV,Javanese
JEW,Jewish
JHW,Jehovah's Witnesses
JIN,Jino
JOL,Jola
JPN,Japanese
KAA,Karakalpak
KAB,Kabyle
KAC,Kachin
KAD,Kadazan
KAK,Kakwa-Nubian
KAL,Kalaallit
KAM,Kamba
KAN,Kannada
KAO,Kaonde
KAR,Karen
KAS,Kashmiri
KAU,Kanuri
KAV,Kavango
KAZ,Kazakhs
KBD,Kabarday
KBY,Kabye
KCH,Karachays
KHA,Khasi
KHI,Khoikhoi
KHK,Khakas
KHM,Khmer
KHU,Khmu
KIK,Kikuyu
KIN,Kinyarwanda Speakers
KIR,Kyrgyz
KIS,Kisii
KLM,Kalmyk
KMB,North Mbundu
KNO,Kono
KNR,Kanuri
KOK,Kokani
KOM,Komi
KON,Kongo
KOR,Korean
KOS,Kosraean
KOU,Kouyou
KPE,Kpelle
KRH,Krahn
KRL,Karelians
KRM,Karamojong
KRO,Kru
KRU,Kurukh
KUA,Kwanyama
KUM,Kumyks
KUR,Kurd
KUR,Kurd
KUT,Ktunaxa
LAD,Sephardic Jew
LAK,Lak (Russia)
LAM,Lamba
LAO,Lao
LAR,Lari
LAV,Latvian
LBA,Limba
LDS,Latter Day Saints
LEN,Lenca
LEZ,Lezgian
LGB,Lugbara
LHU,Lahu
LII,Li
LIM,Limburgian
LIN,Lingala
LIT,Lithuanian
LOL,Mongo
LOM,Lomwe
LOV,Lovale
LOZ,Lozi
LSU,Lisu
LTK,Latoka
LTN,Latinos
LTZ,Luxembourgers
LUA,Luba-Kasai
LUB,Luba-Katanga
LUG,Baganda
LUH,Luhya
LUI,Luiseno
LUL,Lulua
LUN,Lunda
LUO,Luo
LUS,Lusei
MAC,Macedonian
MAD,Madurese
MAF,Mafwe
MAG,Magahi
MAH,Marshallese
MAI,Maithili
MAK,Makassarese
MAL,Malayalam
MAN,Mandinka
MAO,Maori
MAR,Marathi
MAS,Maasai
MAY,Malays
MBA,Mbandja
MBE,Mbere
MBK,M'Baka
MBO,Mbochi
MBU,Mbundu-Mestico
MDF,Mokshas
MDH,Madhesi
MDI,Madi
MDR,Mandar
MEN,Mende
MIA,Miao
MIC,Mi'kmaq
MIJ,Mijikenda
MIN,Minangkabau
MIZ,Mizo
MLA,Mulatto
MLD,Mole-Dagbani
MLG,Malagasy
MLO,Mulao
MLT,Maltese
MNC,Manchu
MND,Mande
MNG,Mananja-Nayanja
MNH,Minahasa
MNI,Manipuri
MNJ,Manjack
MNN,Mano
MNO,Lumad
MNS,Mon
MNY,Manyika
MOH,Mohajirs
MOH,Mohawk
MOK,Makonde
MON,Maonan
MON,Mongol
MOS,Mossi
MRI,Mari
MRN,Maronites
MRO,Moro
MSK,Miskito
MSL,Muslim
MTN,Montenegrins
MTZ,Mestizo
MUN,Munda
MUO,Muong
MUS,Muscogee
MWL,Mirandese
MWR,Marwaris
MYA,Mayangnas
MYE,Myene
MYN,Maya
MYV,Mordvins
NAG,Naga
NAH,Nahua
NAI,Native American
NAM,Nama
NAP,Neapolitan
NAU,Nauruan
NAV,Navajo
NAX,Nakhi
NBA,Nuba
NBL,South Ndebele
NCA,Nicaraguan
NDE,Northern Ndebele
NDO,Ndonga
NEP,Nepali
NER,Nuer
NEW,Newars
NGN,Ngbandi
NGO,Ngoni
NIA,Niasans
NIB,Nibolek
NIR,Niari
NIU,Niuean
NKM,Nkomi
NNG,Nung
NOG,Nogais
NOR,Norwegians
NSO,Northern Sotho
NUB,Nubian
NUR,Nuristani
NUU,Nu
NYA,Chewa
NYK,Nyakyusa
NYM,Nyamwezi
NYN,Ankole
NYO,Nyoro
NZE,New Zealanders
NZI,Nzema
OCI,Occitanians
OGO,Ogoni
OJI,Ojibwe
OJW,Orthodox/Ultra-Orthodox Jew
OKI,Okinawan
ORI,Oriya
ORM,Oromo
ORU,Orgunu
OSA,Osage
OSS,Ossetians
OTO,Otomi
OVA,Ovambo
PAA,Papuan
PAC,Pacific Islanders
PAG,Pangasinan
PAL,Palestinian
PAL,Palestinian
PAM,Kapampangan
PAN,Punjabi
PAP,Papiamento-Creole
PAR,Paraguayan
PAU,Palauan
PER,Persian
PGN,Animist/Pagan
PHU,Puthai
PNM,Panamanians
POL,Poles
POM,Pomaks
PON,Pehnpeian
POR,Portuguese 
PPL,Papel
PRO,Protestant
PRU,Peruvian
PSH,Pashayi
PUM,Pumi
PUS,Pashtun
QIA,Qiang
QIZ,Qizilbash
QUE,Quechua
RAJ,Rajasthani
RAN,Pahari Rajput
RAP,Rapa Nui
RAR,Cook Islands Maori
REL,Unspecified Religion
ROH,Romansh
ROM,Romani
RUM,Romanian
RUN,Rundi
RUP,Aromanians
RUS,Russian
SAD,Sandawe
SAG,Sango
SAH,Yakuts
SAL,Salish
SAR,Sara
SAS,Sasak
SAT,Sudanese
SCN,Sicilian
SCO,Scottish
SEL,Selkup
SEN,Sena
SFI,Sufi
SHA,Shafi'i
SHE,She
SHI,Shi'ites
SHL,Shilluk
SHN,Shan
SHY,Shaigiya
SID,Sidama
SIN,Sinhalese
SIO,Siouan
SLA,Slavic
SLO,Slovaks
SLR,Salar
SLV,Slovenes
SMI,Sami
SMO,Samoans
SNA,Shona
SND,Sindhi
SNK,Soninke
SOM,Somali
SON,Songhai
SOT,Sotho
SPA,Spanish
SRD,Sardinian
SRN,Sranan Tongo
SRP,Serbs
SRR,Serer
SRR,Serer
SSW,Swazi
SUI,Sui
SUK,Sukama
SUN,Sunni
SUS,Susu
SWA,Swahili
SWE,Swedes
SWF,Swiss French
SWT,Swiss Italian
TAB,Tabasaran
TAH,Tahitian
TAI,Tai
TAM,Tamil
TAO,Taoist
TAT,Tatars
TAW,Tawahka
TAY,Tay
TEL,Telugu
TEM,Temne
TER,Terenan
TES,Teso
TET,Tetum
TGK,Tajik
TGL,Tagalog
THA,Thai
TIB,Tibetan
TIG,Tigre
TIR,Tigray-Tigrinya
TIV,Tiv
TKL,Tokelauan
TLI,Tlingit
TMH,Tuareg
TMS,Tama
TOG,Tonga (Africa)
TON,Tonga (Pacific)
TOR,Tooro
TOU,Toubou
TPI,Tok Pisin
TRA,Transnistrians
TRI,Tripuri
TRN,Ternate
TSI,Tsimshian
TSN,Tswana
TSO,Tsonga
TTS,Tutsi
TUJ,Tujia
TUK,Turkmen
TUM,Tumbuka
TUP,Tupi
TUR,Turkish
TUU,Mongour
TVL,Tuvaluans
TWI,Ashanti
TWN,Taiwanese
TYV,Tuvans
UDM,Udmurt
UIG,Uyghur
UKR,Ukranian
UMB,Southern Mbundu
UND,Undetermined
URD,Urdu
UZB,Uzbeks
VAA,Va
VAI,Vai
VEN,Venda
VIE,Vietnamese
VIL,Vili
VNZ,Venezuelan
VOT,Votes
WAK,Wakashan
WAL,Welayta
WAR,Waray
WAS,Washoe
WEL,Welsch
WEL,Welsh
WEN,Sorbs
WHI,Whites
WLN,Walloons
WOL,Wolof
XAL,Kalmyk
XHO,Xhosa
XIB,Xibe
XNC,Xinca
YAO,Yao
YAP,Yapese
YOR,Yoruba
YPK,Yupik
YUG,Yugur
ZAG,Zaghawa
ZAP,Zapotec
ZAY,Zaidiyya
ZEN,Zenaga
ZHA,Zhuang
ZND,Azande
ZOM,Zomi
ZOR,Zoroastrians
ZUL,Zulu
ZUN,Zuni
ZZA,Zaza
